symbol,year,enterpriseValue,averagePrice,nextYearGrowth,ROA,Sales_Margin,ROCE,EV/EBIT,PER,Dividend_Yield,Acid_Test,RSCD
NVDA,2019,101364738250.0,176.23554166666668,1.295617536474032,0.07788519410171532,0.0811710481392967,0.5299145299145299,0.04159237297690156,0.03877386631953023,0.003473823811771484,1.0,1.0
NVDA,2018,132655942949.99995,227.35799166666663,-0.224854422865203,0.06776532336980695,0.08261272390364423,0.4350453172205438,0.026052357121328657,0.0221151355552623,0.0024749790693614844,1.0,1.0
NVDA,2017,83277819750.0,150.58601666666667,0.5098214077203492,0.04232293466111168,0.07007959479015917,0.27091733870967744,0.02581719846237929,0.018911870510309098,0.0029627840355286165,1.0,1.0
NVDA,2016,25263532708.33333,56.05479166666667,1.6864075699743184,0.020827679782903664,0.037275449101796414,1.0,0.031270369394515184,0.02032201947144863,0.0070498210870009095,1.0,0.2705479452054795
KO,2018,195116700274.99994,42.033891666666655,0.1609919138663307,0.019329215535473947,0.06827599196383727,0.08543172098510544,0.04750490340876078,0.03560524765241973,0.0367673710604098,0.476816206412757,0.2425170068027211
KO,2017,187105459233.3333,39.611808333333336,0.061145487551375825,0.003549649585874215,0.05295820389720418,0.05754811486855685,0.04052794627731027,0.007286252730366305,0.03689833113454731,0.6231153931014194,0.9160425223483932
KO,2016,174798298083.33334,37.38591666666667,0.059538239666897814,0.018697719720407933,0.051513269474237386,0.07051424755120214,0.05073848027840518,0.039978121834502285,0.03701360353085604,0.5905133423790141,1.0
KO,2015,164201362291.6667,34.37579166666667,0.08756525607289029,0.02039836613277391,0.04926175102722717,0.0866924122385388,0.06370836303671094,0.04854536841616355,0.03791306762035029,0.5661529892313405,1.0
AHH,2018,1309578416.6666665,12.787808333333333,0.229213762848338,0.0033987760217863068,0.038460145770935816,0.02967409343652796,0.06296911964225638,0.026905314111031538,0.07960238169558638,1.0,1.0
AHH,2017,1018273146.6666667,11.668533333333334,0.09592250954133036,0.005044227766044847,0.02681482044185209,0.04124325650301997,0.08387729783466351,0.04017238247289279,0.08324980443472665,0.9306076113593772,0.07985676085045908
AHH,2016,929953827.4276,10.184933333333333,0.14566614738109895,0.007143744121945956,0.025813224451883814,0.011244430731901185,0.027746538848466482,0.07352355242717677,0.08863210033457802,1.0,0.02405887585385093
AHH,2015,633398950.5427,7.7653,0.3115956026596955,0.007121341982489955,0.02632704801140865,0.015095590287468603,0.0409883849314174,0.084101202984425,0.11570873177126062,1.0,0.033124767149294944
AEIS,2018,1842627196.6666675,57.49916666666668,-0.018101711619009437,0.04501772233136228,0.0596588221874774,1.0,0.09354903710953036,0.06700014620105584,0.0,1.0,1.0
AEIS,2017,2424401313.333333,71.57833333333333,-0.19669592753859386,0.04699969180753517,0.0748011958057382,1.0,0.08174842956486658,0.04863184998737837,0.0,1.0,1.0
AEIS,2016,1337630080.0000002,40.9025,0.7499745329340096,0.05575132670433172,0.06556540777004118,1.0,0.09574844489143064,0.07846606193528062,0.0,1.0,1.0
AEIS,2015,887047470.0000002,26.59916666666667,0.5377361446160595,-0.08563329932913756,0.06427987685958184,1.0,0.11787644239603096,-0.14987189265781015,0.0,1.0,1.0
AGEN,2018,286868016.0,2.9433333333333334,0.026896942242355736,-0.2926893092079845,-0.8506285594884517,-1.0,-0.4548553715378295,-0.4887885770254966,0.0,0.5491460122309271,-1.0
AGEN,2017,459661740.3333334,3.851666666666667,-0.23582864560796202,-0.21801070625961366,-0.6238145241493324,-0.16704376892428027,-0.2084526306899412,-0.31974626762864383,0.0,0.6509258431902791,-1.0
AGEN,2016,438355657.0,4.416666666666667,-0.12792452830188678,-0.20223966838670554,-1.0,-0.20864174156620302,-0.25020574104282634,-0.3305014313597918,0.0,1.0,-1.0
AGEN,2015,416768886.0,6.078333333333334,-0.2733753770222101,-0.09070064712125267,-0.8129594099212134,-0.18809967890031387,-0.20795483758833186,-0.1853601927822657,0.0,1.0,-1.0
ADI,2019,44674675666.66666,106.25966666666666,0.0940202303163007,0.015928503170786628,0.0753733685079364,0.12019922381321267,0.05654330920828099,0.034389200542650315,0.019616092626618797,0.455790411445601,1.0
ADI,2018,37760020423.05348,87.28921666666666,0.21732867729175406,0.01828176236036585,0.07586488472235348,0.07475880966619929,0.05010871230474282,0.046282532147551576,0.021766839840994482,0.5423955543481508,1.0
ADI,2017,34923876404.3837,77.096775,0.132203216887693,0.008599982101379414,0.05164627411868383,0.03544569640165385,0.030905074439689675,0.025589122748235202,0.02118598326049541,0.5639559941165121,0.9797082637426476
ADI,2016,14962852030.880003,56.09383333333334,0.3744251447723008,0.02702741359837135,0.07512343598792194,0.14657338775693285,0.0698849389034893,0.04984615703223761,0.02968680467769768,1.0,0.28712682612329715
AIN,2018,2411933911.666667,64.58148333333334,0.19834748814740188,0.014614151560798653,0.03496461501976124,0.06467292414085428,0.05617442474050872,0.039737161447278034,0.010511117031921658,1.0,1.0
AIN,2017,1980268943.3333333,51.23838333333334,0.26041219749647315,0.00608122403941234,0.022041652532021484,0.03564551890462113,0.03702022406946364,0.02006878161584929,0.013254935977681376,1.0,1.0
AIN,2016,1487049272.5,38.500725,0.3308420382559896,0.010434467043365179,0.029421457505972387,0.05416633946017858,0.06308264408905119,0.042668614309724864,0.01764905875492991,0.9184561694723736,0.6946711296079622
AIN,2015,1171267266.6666667,34.10313333333334,0.12894978369533971,0.014184121430877944,0.022502422985681846,0.059707868135184076,0.05406024893037507,0.052486929353510035,0.01932373760377834,1.0,1.0
